FISHERY,ESTIMATE_TYPE,LICENCE_AREA,CALENDAR_YEAR,MGMT_AREA,BOAT_DAYS,SOCKEYE_KEPT,COHO_KEPT,PINK_KEPT,CHUM_KEPT,CHINOOK_KEPT,
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,23,640,"46,720",372,0,"12,790","6,856",
SALMON GILL NET,POST-SEASON,AREA D - SALMON GILL NET,2004,25,388,0,"2,514",0,"122,856","5,450",
SALMON GILL NET,POST-SEASON,AREA E - SALMON GILL NET,2004,29,"1,376","274,263",18,17,"70,819","7,663",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,1,0,0,0,0,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,2,145,0,700,2,"38,867",2,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,3,"3,968","131,511","4,008","274,264","66,484","3,345",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,4,199,35,0,0,1,"1,760",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,6,"1,396",976,"1,363","79,027","146,401",122,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,7,276,78,907,"1,244","37,891",4,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2005,8,"2,189","1,089","4,471","24,033","198,623","6,179",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,12,750,"28,984",11,"5,655","84,446",11,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,13,370,"12,760",0,"3,244","64,153",11,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,14,423,0,1,0,"29,741",2,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,16,89,"8,136",0,"2,520",293,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,17,60,0,0,0,"3,797",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,21,745,0,0,0,"294,054",1,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,23,422,"10,609",452,0,"12,328","10,433",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2005,25,622,2,"1,099",0,"109,745","8,179",
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2005,29,337,"3,375",0,"1,082","56,898",139,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,1,7,,,,,,Catch figures omitted due to privacy restrictions.
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,2,85,0,"1,055",86,"17,820",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,3,"3,487","210,859",0,"52,993","48,486","5,019",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,4,"6,376","711,818",0,"216,147","5,641","5,120",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,5,123,"11,995",0,"11,296","1,896",37,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,6,234,277,0,"3,810","45,302",74,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,7,60,14,338,652,"10,803",2,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2006,8,"1,624","1,189","2,996","9,696","270,381","5,222",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,11,409,"47,920",1,"2,157","1,840",12,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,12,"3,131","340,490",3,"19,054","94,900",72,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,13,821,"72,814",3,"2,039","54,490",63,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,14,549,0,0,0,"80,534",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2006,21,"1,009",0,0,0,"229,243",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,23,333,"5,468",117,0,"18,269","12,978",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2006,25,434,0,"1,259",0,"124,596","4,846",
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2006,29,"1,809","782,424",1,250,"163,757","3,452",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,3,"2,541","107,144","9,839","97,095","12,542","3,822",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,4,"2,621","361,944","5,003","343,029",0,"5,186",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,5,17,"2,046",197,"2,468",0,4,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,6,77,395,103,"9,365","14,253",151,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,7,34,3,0,598,"5,357",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2007,8,"1,349",373,0,"7,701","190,867","5,426",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,12,498,0,0,21,"27,728",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,13,492,0,7,1,"59,967",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,14,449,0,3,0,"25,353",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,17,14,0,0,0,326,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,18,65,0,0,0,"6,936",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,21,540,0,2,0,"180,111",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,23,405,0,436,0,"7,828","16,739",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,24,34,0,0,0,"4,473",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,25,353,0,623,0,"16,649","6,101",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2007,27,7,,,,,,Catch figures omitted due to privacy restrictions.
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2007,29,418,0,0,0,"29,879",88,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,2,6,,,,,,Catch figures omitted due to privacy restrictions.
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,3,893,"36,506",0,"10,392","14,714",443,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,4,"3,319","497,320",0,"63,544",0,"5,236",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,5,28,"1,794",0,303,0,7,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,6,28,62,0,225,"3,042",50,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2008,8,291,258,0,795,"8,546","1,134",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,12,691,"3,210",0,"3,431","53,060",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,13,508,888,0,659,"36,453",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,14,309,0,0,0,"13,878",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2008,17,24,0,0,0,802,0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2008,18,89,0,0,0,"3,560",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2008,21,276,0,4,0,"23,919",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,23,213,0,900,0,"2,109","4,848",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,24,6,0,0,0,483,0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2008,25,79,0,633,0,"14,810",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2008,29,204,0,0,0,"38,000",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,2,12,0,60,0,"3,550",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,3,"2,275","103,628",0,"184,679","47,197","1,299",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,4,191,132,0,0,0,"2,438",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,6,222,"1,086",0,"19,796","29,337",84,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,7,18,14,0,203,"1,710",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2009,8,694,"1,071",0,"1,253","35,187","4,096",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2009,12,681,0,0,751,"63,083",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2009,13,550,0,1,2,"63,542",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2009,14,563,0,1,0,"46,609",0,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2009,17,94,0,0,0,"6,731",1,
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2009,18,82,0,0,0,"3,731",0,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2009,23,303,"9,213",377,0,8,"3,671",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2009,25,74,0,1,0,0,"3,496",
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2009,29,201,1,10,1,"42,115",33,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,2,32,0,100,4,"8,602",0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,3,"1,394","65,649",0,"30,150","15,388",694,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,4,581,"62,798",0,"15,116",0,"1,061",
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,5,21,"2,385",0,294,0,0,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,6,17,344,0,435,"1,612",21,
SALMON GILL NET,IN-SEASON,AREA C - SALMON GILL NET,2010,8,222,301,0,"1,155","3,932","1,549",
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2010,11,211,"44,119",0,"7,994",489,6,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2010,12,"4,244","845,057",31,"93,462","15,610",16,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2010,13,789,"116,507",1,"6,922","5,748",3,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2010,23,952,"240,543",142,4,932,12,
SALMON GILL NET,IN-SEASON,AREA D - SALMON GILL NET,2010,25,78,0,568,0,"13,122","1,735",
SALMON GILL NET,IN-SEASON,AREA E - SALMON GILL NET,2010,29,"2,937","2,120,369",51,57,165,"6,385",
