Project,Species,Run,Recovery Year,RETURN_SITE_CODE,Return Site,CU Index,CU Name,Composite Type,Composite Descr,Sex/Maturity,Total Count,Total Examined,Expanded Enh,Enh Contr %
Big Qualicum R,Coho,Fall,1975,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,23549,23549,20410.932,86.674
Big Qualicum R,Chinook,Fall,1975,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,602,0,601.999,100
Big Qualicum R,Chinook,Fall,1975,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,713,713,713,100
Big Qualicum R,Coho,Fall,1975,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,3354,3354,2907.056,86.674
Big Qualicum R,Coho,Fall,1975,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,700,700,606.72,86.674
Big Qualicum R,Chinook,Fall,1976,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,376,0,324.149,86.21
Big Qualicum R,Coho,Fall,1976,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,6022,6022,6022,100
Big Qualicum R,Chinook,Fall,1976,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,447,0,446.998,100
Big Qualicum R,Coho,Fall,1976,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,9498,9498,5915.445,62.281
Big Qualicum R,Chinook,Fall,1976,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,507,442,507.01,100.002
Big Qualicum R,Coho,Fall,1976,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,3501,3501,2180.457,62.281
Big Qualicum R,Chinook,Fall,1976,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,262,211,225.87,86.21
Big Qualicum R,Coho,Fall,1976,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,2322,2322,2322,100
Big Qualicum R,Chinook,Fall,1976,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,37,37,36.98,99.946
Big Qualicum R,Coho,Fall,1976,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,2576,2576,1604.357,62.281
Big Qualicum R,Chinook,Fall,1977,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,434,0,365.342,84.18
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,11389,0,11389,100
Big Qualicum R,Chinook,Fall,1977,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,763,0,743.037,97.384
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,21799,0,17584.917,80.668
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,468,468,468,100
Big Qualicum R,Chinook,Fall,1977,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,1699,1226,1654.49,97.38
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,4591,4591,3703.489,80.668
Big Qualicum R,Chinook,Fall,1977,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Immatures,77,30,77,100
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,24751,11352,24751,100
Big Qualicum R,Chinook,Fall,1977,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,290,286,244.12,84.179
Big Qualicum R,Coho,Fall,1977,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,11130,3631,8978.399,80.668
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,4591,0,4543.631,98.968
Big Qualicum R,Chinook,Fall,1978,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,375,0,375,100
Big Qualicum R,Chinook,Fall,1978,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,1053,22,1053.02,100.002
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,14019,874,12266.961,87.502
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,1177,1177,1164.856,98.968
Big Qualicum R,Chinook,Fall,1978,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,1514,1514,1513.99,99.999
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,2299,2299,2011.68,87.502
Big Qualicum R,Chinook,Fall,1978,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,1644,1588,1644.01,100.001
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,16229,15441,16061.555,98.968
Big Qualicum R,Coho,Fall,1978,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,26559,26559,23239.763,87.502
Big Qualicum R,Coho,Fall,1979,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,2004,0,1454.386,72.574
Big Qualicum R,Chinook,Fall,1979,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,1224,14,978.18,79.917
Big Qualicum R,Coho,Fall,1979,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,23342,0,22483.638,96.323
Big Qualicum R,Chinook,Fall,1979,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,4375,22,4374.99,100
Big Qualicum R,Chinook,Fall,1979,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,3935,3935,3935.01,100
Big Qualicum R,Coho,Fall,1979,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,7232,7232,6966.055,96.323
Big Qualicum R,Chinook,Fall,1979,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,1020,1020,815.16,79.918
Big Qualicum R,Coho,Fall,1979,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,6179,6121,4484.354,72.574
Big Qualicum R,Coho,Fall,1979,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,29785,28238,28689.706,96.323
Big Qualicum R,Chinook,Fall,1980,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,221,0,186.197,84.252
Big Qualicum R,Coho,Fall,1980,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,3888,0,1913.114,49.206
Big Qualicum R,Chinook,Fall,1980,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,3245,263,3239.48,99.83
Big Qualicum R,Coho,Fall,1980,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,10584,2569,9637.327,91.056
Big Qualicum R,Coho,Fall,1980,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,5957,5957,5424.183,91.056
Big Qualicum R,Chinook,Fall,1980,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,2975,2975,2969.97,99.831
Big Qualicum R,Chinook,Fall,1980,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,337,337,283.93,84.252
Big Qualicum R,Coho,Fall,1980,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,10908,9962,5367.346,49.206
Big Qualicum R,Chinook,Fall,1980,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,1394,1394,1391.64,99.831
Big Qualicum R,Coho,Fall,1980,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,28416,28416,25874.365,91.056
Big Qualicum R,Chinook,Fall,1981,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,264,0,169.889,64.352
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,3289,0,1914.194,58.2
Big Qualicum R,Chinook,Fall,1981,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,2077,724,1114.21,53.645
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,11515,0,6969.564,60.526
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,2574,2574,1498.064,58.2
Big Qualicum R,Chinook,Fall,1981,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,2486,2486,1333.62,53.645
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,7260,7260,4394.184,60.526
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,20027,20027,11655.689,58.2
Big Qualicum R,Chinook,Fall,1981,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,486,486,312.76,64.354
Big Qualicum R,Coho,Fall,1981,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,42528,42528,25740.477,60.526
Big Qualicum R,Chinook,Fall,1981,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,65,65,34.87,53.646
Big Qualicum R,Chinook,Fall,1982,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,423,0,423,100
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,1040,0,838.695,80.644
Big Qualicum R,Chinook,Fall,1982,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,1228,0,856.665,69.761
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,11058,0,7135.31,64.526
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,1570,1570,1266.108,80.644
Big Qualicum R,Chinook,Fall,1982,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,2180,2180,1520.77,69.76
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,6988,0,4509.092,64.526
Big Qualicum R,Chinook,Fall,1982,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,72,72,72,100
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,5090,3520,4104.767,80.644
Big Qualicum R,Coho,Fall,1982,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,21110,21110,13621.487,64.526
Big Qualicum R,Chinook,Fall,1982,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,7,4,4.882,69.743
Big Qualicum R,Chinook,Fall,1983,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,2032,1948,1361.76,67.016
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,20666,12852,9470.399,45.826
Big Qualicum R,Chinook,Fall,1983,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,855,727,582.01,68.071
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,10563,0,8449.101,79.988
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,440,440,201.634,45.826
Big Qualicum R,Chinook,Fall,1983,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,2006,2006,1365.52,68.072
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,11194,6112,8953.824,79.988
Big Qualicum R,Chinook,Fall,1983,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,92,92,61.66,67.022
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,12178,12178,5580.69,45.826
Big Qualicum R,Coho,Fall,1983,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,8709,0,6966.128,79.988
Big Qualicum R,Chinook,Fall,1984,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,1646,1412,1150.901,69.921
Big Qualicum R,Coho,Fall,1984,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,1096,0,699.497,63.823
Big Qualicum R,Chinook,Fall,1984,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,2297,1977,901.16,39.232
Big Qualicum R,Coho,Fall,1984,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,12389,0,8177.58,66.007
Big Qualicum R,Chinook,Fall,1984,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,3068,3068,1203.61,39.231
Big Qualicum R,Coho,Fall,1984,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,4728,4728,3120.8,66.007
Big Qualicum R,Chinook,Fall,1984,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,269,269,188.09,69.922
Big Qualicum R,Coho,Fall,1984,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,6707,4399,4280.589,63.823
Big Qualicum R,Chinook,Fall,1984,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,345,345,135.35,39.232
Big Qualicum R,Coho,Fall,1984,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,27660,17912,18257.478,66.007
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,140,0,82.963,59.259
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,22,6,20.398,92.718
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,887,0,556.214,62.707
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,1305,0,629.818,48.262
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,6561,6561,6083.371,92.72
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Jacks,18,18,10.65,59.167
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,5856,5856,3672.16,62.708
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,17452,17452,8422.678,48.262
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,1034,1034,612.75,59.26
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,456,456,422.805,92.72
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Total Adults,2353,2353,1475.5,62.707
Big Qualicum R,Coho,Fall,1985,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,2120,2120,1023.153,48.262
Big Qualicum R,Chinook,Fall,1985,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Tendered Sale,Z1,Jacks,115,115,68.15,59.261
Big Qualicum R,Chinook,Fall,1986,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,91,0,68.331,75.089
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,578,21,356.177,61.622
Big Qualicum R,Chinook,Fall,1986,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,991,0,631.589,63.732
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,5083,5083,4515.816,88.842
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Below Fence,N2,Total Adults,1000,0,888.417,88.842
Big Qualicum R,Chinook,Fall,1986,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Below Fence,N2,Total Adults,800,0,509.861,63.733
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,115,115,70.866,61.623
Big Qualicum R,Chinook,Fall,1986,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Broodstock,H1,Total Adults,7480,7480,4760.58,63.644
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Total Adults,6917,6917,6145.17,88.842
Big Qualicum R,Chinook,Fall,1986,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,First Nations Rack,S1,Jacks,157,157,117.9,75.096
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Jacks,3313,3313,2041.547,61.622
Big Qualicum R,Coho,Fall,1986,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,First Nations Rack,S1,Total Adults,6950,6950,6174.488,88.842
Big Qualicum R,Chinook,Fall,1987,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Jacks,2,2,1.52,76
Big Qualicum R,Coho,Fall,1987,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Jacks,387,56,332.811,85.998
Big Qualicum R,Chinook,Fall,1987,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Above Fence,N1,Total Adults,663,627,393.8,59.397
Big Qualicum R,Coho,Fall,1987,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Above Fence,N1,Total Adults,2987,1745,2024.388,67.773
Big Qualicum R,Chinook,Fall,1987,100,Big Qualicum R,CK-27,EAST VANCOUVER ISLAND-QUALICUM & PUNTLEDGE_FA_0.x,Below Fence,N2,Total Adults,216,0,128.295,59.396
Big Qualicum R,Coho,Fall,1987,100,Big Qualicum R,CO-13,EAST VANCOUVER ISLAND-GEORGIA STRAIT,Broodstock,H1,Jacks,170,170,146.198,85.999
