recY,proj,stock,run,prod_area,stat_area,area,catch,Escape
1985,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,101.68,9391.74
1985,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,204.37,7264.63
1985,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,62.12,3168.71
1985,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,38.98,4422.64
1985,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,29.92,3869.41
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,221.47,279.39
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,27.68,1268.9
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,34.26,1528.35
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,64.6,1515.94
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,71.6,1723.71
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,31.58,2118.55
1986,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,19.88,752.65
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,36.45,2334.85
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,49.51,1999.11
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,21.41,2114.68
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,106.35,1870.28
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,20.23,1955.9
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,17.25,866.16
1988,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,5.4,8.45
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,10.69,1298.75
1987,Capilano R,Capilano R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,268.07,10207.38
1985,Cheakamus Centre,Squamish R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,4.94,0
1984,Chehalis R,Coho Cr/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,13.94,119.48
1985,Chehalis R,Coho Cr/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,35.9,1357.79
1985,Chehalis R,Coho Cr/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,8.51,406.49
1984,Chehalis R,Harrison R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,18.98,19.56
1985,Chehalis R,Harrison R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,70.68,2969.42
1985,Chehalis R,Hicks+Maria Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,28.2,488.76
1985,Chehalis R,Weaver Sp Ch,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,80.16,300.72
1986,Chehalis R,Chehalis R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,228.65,4077.11
1986,Chehalis R,Chehalis R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,316.12,4083.57
1986,Chehalis R,Chehalis R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,357.52,3741.23
1986,Chehalis R,Coho Cr/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,11.09,521.03
1985,Chehalis R,Evans Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,4.65,109.78
1986,Chehalis R,Evans Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,27.35,661.21
1986,Chehalis R,Weaver Sp Ch,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,95.08,3728.28
1987,Chehalis R,Chehalis R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,160.92,5625.83
1987,Chehalis R,Chehalis R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,630.87,12085.45
1987,Chehalis R,Hicks+Maria Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,39.61,411.37
1983,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,7.04,358.66
1982,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.09,58.83
1983,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.5,33.59
1983,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,10.68,192.71
1984,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,7.86,0
1983,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.21,476.01
1984,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.24,586.63
1983,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,16.37,431.88
1984,Chilliwack R,Post Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,25.52,2984.21
1984,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,3.7,1025.64
1985,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,43.83,5167.33
1985,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,21.74,3850.86
1985,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,29.88,4837.73
1985,Chilliwack R,Dolly Varden Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,20.8,990.18
1985,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,22.65,1656.57
1985,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,15.87,2544.96
1985,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,17.02,1792.63
1986,Chilliwack R,Salwein Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,8.38,0
1986,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,144.7,21171.09
1987,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,37.61,3697.84
1987,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,37.82,4095.17
1987,Chilliwack R,Chilliwack R,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,188.85,10433.42
1987,Fort Babine,Babine R,Fall,SKNA,1BC Freshwater (MRP AREA FW)-S,FW,6.75,0
1984,Inch Cr,Siddle Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,4.66,15.85
1985,Inch Cr,Inch Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,28.03,413.37
1984,Inch Cr,Nicomen Sl,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,12.48,0.78
1985,Inch Cr,Nicomen Sl,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,6.05,145.07
1985,Inch Cr,Norrish Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,9.76,209.82
1985,Inch Cr,Siddle Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,6.02,175.91
1985,Inch Cr,Blaney Cr/LWFR,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,12.75,0
1986,Inch Cr,Inch Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,7.3,362.38
1986,Inch Cr,Siddle Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,9.36,103.82
1987,Inch Cr,Inch Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,13.12,572.25
1987,Inch Cr,Norrish Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,57.97,262.75
1987,Inch Cr,Siddle Cr,Fall,LWFR,1BC Freshwater (MRP AREA FW)-S,FW,28.93,12.79
1987,Kincolith R,Kincolith R,Fall,NASS,1BC Freshwater (MRP AREA FW)-S,FW,13.5,0
1987,Kincolith R,Kincolith R,Fall,NASS,1BC Freshwater (MRP AREA FW)-S,FW,27,0
1987,Kincolith R,Kincolith R,Fall,NASS,1BC Freshwater (MRP AREA FW)-S,FW,40.23,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,81.42,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,35.56,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,33.21,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,120.69,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,85.99,0
1986,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,396.97,0
1987,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,294.32,0
1987,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,35.62,0
1987,Kitimat R,Kitimat R,Fall,NCST,1BC Freshwater (MRP AREA FW)-S,FW,93.69,0
1982,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,3.41,0
1984,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,7.78,0
1985,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,4.18,0
1984,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,11.73,0
1985,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,4.2,0
1984,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,3.92,0
1984,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,5.07,0
1984,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,4.12,0
1985,Nanaimo R,Nanaimo R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,4.41,0
1987,P Hardy/Quatse,Quatse R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.07,0
1983,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,6.88,931.2
1983,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,3.59,621.96
1983,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,29,56.03
1984,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,10.05,1341.17
1984,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,8.89,11.49
1985,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,19.66,265.26
1985,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,69.42,339.77
1985,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,21.09,323.43
1985,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,11.29,69.06
1987,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,153.52,389.28
1987,Pallant Cr,Pallant Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,29.18,247.46
1984,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,133.06,10182.58
1985,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,76.53,9377.93
1985,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,146.23,10523.39
1986,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,86.41,0
1985,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,133.07,9247.35
1985,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,32.13,7810.75
1986,Puntledge R,Puntledge R,Fall,GSVI,1BC Freshwater (MRP AREA FW)-S,FW,68.49,482.62
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,14.47,418.2
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,9.83,395.51
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.24,399.66
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,17.34,399.63
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.24,487.69
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,9.24,357.37
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.24,407.93
1984,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,9.86,427.67
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,4.71,1371.35
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,105.11,3823.08
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,105.29,4429.23
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,16.49,622.47
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,11.33,542.65
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,14.86,401.19
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,14.86,436.05
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,18.52,521.61
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,31.22,573.75
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,20.15,494.19
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,5.02,381.1
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.56,684.37
1985,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,10.15,1274.51
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,26.23,860.95
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,40.96,867.19
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,7.96,342.29
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,8.39,315.6
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,8,352.48
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,165.98,6491.38
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,18.58,1215.11
1986,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,4.96,155.56
1987,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,169.1,1939.67
1987,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,89.97,2719.59
1987,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,5.89,216.66
1987,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,5.94,190.03
1987,Quinsam R,Quinsam R,Fall,JNST,1BC Freshwater (MRP AREA FW)-S,FW,17.77,195.82
1983,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,6.5,3038.48
1983,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,54.48,11224.05
1983,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,9.63,1792.42
1983,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,10.24,1712.59
1984,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,29.84,3800.9
1984,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,16.07,1301.51
1984,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,88.36,9416.15
1986,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,80.51,5437.2
1986,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,335.01,17857.13
1987,Robertson Cr,Robertson Cr,Fall,SWVI,1BC Freshwater (MRP AREA FW)-S,FW,181.67,5670.99
1986,Sachs Cr,Sachs Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,7.99,0
1987,Sachs Cr,Sachs Cr,Fall,QCI,1BC Freshwater (MRP AREA FW)-S,FW,7.58,0
1983,Seymour R,Seymour R/GSMN,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,6.18,106.17
1984,Seymour R,Seymour R/GSMN,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,6.09,0
1984,Seymour R,Seymour R/GSMN,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,6.09,0
1986,Sliammon R,Sliammon R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,3.19,0
1985,Tenderfoot Cr,Shovelnose Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,100.64,34.63
1984,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,29.72,0
1985,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,166.68,453.54
1984,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,7.83,0.99
1985,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,49.27,300.53
1984,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,5.07,1.29
1985,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,27.24,580.55
1985,Tenderfoot Cr,Mamquam R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,68.88,19.13
1986,Tenderfoot Cr,Mamquam R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,120.25,81.25
1985,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,44.95,173.14
1986,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,132.35,1164.66
1985,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,90.57,610.84
1986,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,96.67,1068.43
1986,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,84.57,531.62
1986,Tenderfoot Cr,Mamquam R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,56.86,0
1987,Tenderfoot Cr,Mamquam R,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,67.22,55.93
1986,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,43.9,0
1987,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,208.5,717.1
1987,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,164.73,576.73
1986,Tenderfoot Cr,Tenderfoot Cr,Fall,GSMN,1BC Freshwater (MRP AREA FW)-S,FW,73.18,33
