Stock,Recovery Type,Year,Age 2,Age 3,Age 4,Age 5,Age 6,Total,% Age 2,% Age 3,% Age 4,% Age 5,% Age 6
Big Qualicum R,Catch,1999,,111,"1,417","1,797",,"3,325",0,3.3,42.6,54,0
Big Qualicum R,Catch,2000,,10,581,5,,596,0,1.7,97.5,0.8,0
Big Qualicum R,Catch,2001,,"2,055","5,877",279,,"8,211",0,25,71.6,3.4,0
Big Qualicum R,Catch,2002,,754,"58,240","5,172",,"64,166",0,1.2,90.8,8.1,0
Big Qualicum R,Catch,2003,,,"8,594","2,262",,"10,856",0,0,79.2,20.8,0
Big Qualicum R,Catch,2004,,"3,261",,"4,300",,"7,561",0,43.1,0,56.9,0
Big Qualicum R,Catch,2005,,507,"15,518",,,"16,025",0,3.2,96.8,0,0
Big Qualicum R,Catch,2006,,"1,736","12,417",659,,"14,812",0,11.7,83.8,4.4,0
Big Qualicum R,Catch,2007,,"1,007","2,777",,,"3,784",0,26.6,73.4,0,0
Big Qualicum R,Catch,2008,,,415,422,,837,0,0,49.6,50.4,0
Big Qualicum R,Catch,2009,,,"3,069",,,"3,069",0,0,100,0,0
Big Qualicum R,Catch,2010,,,"2,225",260,,"2,485",0,0,89.5,10.5,0
Big Qualicum R,Catch,2011,,,"20,362","1,413",,"21,775",0,0,93.5,6.5,0
Big Qualicum R,Catch,2012,,"2,133","2,361","4,456",,"8,950",0,23.8,26.4,49.8,0
Big Qualicum R,Catch,2013,,140,"4,072",155,,"4,367",0,3.2,93.2,3.6,0
Big Qualicum R,Catch,2014,,"1,337","1,366",607,,"3,310",0,40.4,41.3,18.3,0
Big Qualicum R,Catch,2016,,659,"87,285","13,508",,"101,452",0,0.6,86,13.3,0
Big Qualicum R,Escapement,1980,,"34,801","61,861",913,,"97,575",0,35.7,63.4,0.9,0
Big Qualicum R,Escapement,1981,,"12,026","74,168","2,637",,"88,831",0,13.5,83.5,3,0
Big Qualicum R,Escapement,1982,,"32,962","101,750","4,632",,"139,344",0,23.7,73,3.3,0
Big Qualicum R,Escapement,1983,,"21,465","110,717","13,466",,"145,648",0,14.7,76,9.2,0
Big Qualicum R,Escapement,1984,,"52,540","41,384","6,296",,"100,220",0,52.4,41.3,6.3,0
Big Qualicum R,Escapement,1985,,"118,740","69,843",,,"188,583",0,63,37,0,0
Big Qualicum R,Escapement,1986,,"9,860","153,452","3,990",,"167,302",0,5.9,91.7,2.4,0
Big Qualicum R,Escapement,1987,,"1,979","50,067","24,376",,"76,422",0,2.6,65.5,31.9,0
Big Qualicum R,Escapement,1988,,879,"69,105","14,744","1,887","86,615",0,1,79.8,17,2.2
Big Qualicum R,Escapement,1989,,"13,527","29,562","19,257",,"62,346",0,21.7,47.4,30.9,0
Big Qualicum R,Escapement,1990,,862,"81,937","3,333",,"86,132",0,1,95.1,3.9,0
Big Qualicum R,Escapement,1991,,"17,735","31,642","18,488",,"67,865",0,26.1,46.6,27.2,0
Big Qualicum R,Escapement,1992,,820,"40,948",916,10,"42,694",0,1.9,95.9,2.1,0
Big Qualicum R,Escapement,1993,,"2,187","33,847","26,425",,"62,459",0,3.5,54.2,42.3,0
Big Qualicum R,Escapement,1994,,"2,133","22,679","5,833",555,"31,200",0,6.8,72.7,18.7,1.8
Big Qualicum R,Escapement,1995,,"3,993","5,407","8,684",133,"18,217",0,21.9,29.7,47.7,0.7
Big Qualicum R,Escapement,1996,,"29,121","18,434",904,181,"48,640",0,59.9,37.9,1.9,0.4
Big Qualicum R,Escapement,1997,,"12,376","75,234","1,813",,"89,423",0,13.8,84.1,2,0
Big Qualicum R,Escapement,1998,,"4,459","64,020","9,747",,"78,226",0,5.7,81.8,12.5,0
Big Qualicum R,Escapement,1999,,"1,257","17,281","12,661",,"31,199",0,4,55.4,40.6,0
Big Qualicum R,Escapement,2000,,"1,387","5,179",584,,"7,150",0,19.4,72.4,8.2,0
Big Qualicum R,Escapement,2001,,"32,234","34,379",614,,"67,227",0,47.9,51.1,0.9,0
Big Qualicum R,Escapement,2002,,"2,435","41,697","1,171",,"45,303",0,5.4,92,2.6,0
Big Qualicum R,Escapement,2003,,,"14,127","1,882",,"16,009",0,0,88.2,11.8,0
Big Qualicum R,Escapement,2004,,"16,423",,"6,531",609,"23,563",0,69.7,0,27.7,2.6
Big Qualicum R,Escapement,2005,,"4,737","21,326",,,"26,063",0,18.2,81.8,0,0
Big Qualicum R,Escapement,2006,,"4,239","22,341","2,307",,"28,887",0,14.7,77.3,8,0
Big Qualicum R,Escapement,2007,,181,"10,153",981,,"11,315",0,1.6,89.7,8.7,0
Big Qualicum R,Escapement,2008,,"1,751","4,664","3,544",,"9,959",0,17.6,46.8,35.6,0
Big Qualicum R,Escapement,2009,,"1,700","14,800",618,331,"17,449",0,9.7,84.8,3.5,1.9
Big Qualicum R,Escapement,2010,,"1,884","10,932",733,,"13,549",0,13.9,80.7,5.4,0
Big Qualicum R,Escapement,2011,,35,"20,061",936,,"21,032",0,0.2,95.4,4.5,0
Big Qualicum R,Escapement,2012,,"3,054","5,909","13,297",,"22,260",0,13.7,26.5,59.7,0
Big Qualicum R,Escapement,2013,,563,"6,206",549,201,"7,519",0,7.5,82.5,7.3,2.7
Big Qualicum R,Escapement,2014,,382,"4,169","1,768",,"6,319",0,6,66,28,0
Big Qualicum R,Escapement,2015,,"14,210","97,653","1,305",,"113,168",0,12.6,86.3,1.2,0
Big Qualicum R,Escapement,2016,,"2,169","46,272","5,165",,"53,606",0,4,86.3,9.6,0
Big Qualicum R,Escapement,2017,,,,"24,625",,"24,625",0,0,0,100,0
Big Qualicum R,Catch + Escapement,1980,,"70,105","124,610","1,834",,"196,549",0,35.7,63.4,0.9,0
Big Qualicum R,Catch + Escapement,1981,,"18,296","112,839","4,012",,"135,147",0,13.5,83.5,3,0
Big Qualicum R,Catch + Escapement,1982,,"82,107","253,453","11,538",,"347,098",0,23.7,73,3.3,0
Big Qualicum R,Catch + Escapement,1983,,"30,574","189,713","25,966",,"246,253",0,12.4,77,10.5,0
Big Qualicum R,Catch + Escapement,1984,,"128,731","101,917","19,473",,"250,121",0,51.5,40.7,7.8,0
Big Qualicum R,Catch + Escapement,1985,,"271,829","323,266","3,158",,"598,253",0,45.4,54,0.5,0
Big Qualicum R,Catch + Escapement,1986,,"51,334","431,787","18,301",,"501,422",0,10.2,86.1,3.6,0
Big Qualicum R,Catch + Escapement,1987,,"6,321","171,200","42,812",,"220,333",0,2.9,77.7,19.4,0
Big Qualicum R,Catch + Escapement,1988,,"1,609","148,828","53,369","3,631","207,437",0,0.8,71.7,25.7,1.8
Big Qualicum R,Catch + Escapement,1989,,"27,443","84,904","43,494",,"155,841",0,17.6,54.5,27.9,0
Big Qualicum R,Catch + Escapement,1990,,"3,162","296,638","10,815",50,"310,665",0,1,95.5,3.5,0
Big Qualicum R,Catch + Escapement,1991,,"21,893","104,405","84,374",,"210,672",0,10.4,49.6,40,0
Big Qualicum R,Catch + Escapement,1992,,"6,665","433,908","26,273","1,905","468,751",0,1.4,92.6,5.6,0.4
Big Qualicum R,Catch + Escapement,1993,,"13,902","212,866","177,442",878,"405,088",0,3.4,52.5,43.8,0.2
Big Qualicum R,Catch + Escapement,1994,,"16,134","138,857","37,542","5,833","198,366",0,8.1,70,18.9,2.9
Big Qualicum R,Catch + Escapement,1995,,"5,444","13,278","16,848",133,"35,703",0,15.2,37.2,47.2,0.4
Big Qualicum R,Catch + Escapement,1996,,"30,841","18,434",904,181,"50,360",0,61.2,36.6,1.8,0.4
Big Qualicum R,Catch + Escapement,1997,,"12,535","78,702","1,813",,"93,050",0,13.5,84.6,1.9,0
Big Qualicum R,Catch + Escapement,1998,101,"20,478","289,252","29,919",,"339,750",0,6,85.1,8.8,0
Big Qualicum R,Catch + Escapement,1999,,"1,368","18,698","14,458",,"34,524",0,4,54.2,41.9,0
Big Qualicum R,Catch + Escapement,2000,,"1,397","5,760",589,,"7,746",0,18,74.4,7.6,0
Big Qualicum R,Catch + Escapement,2001,,"34,289","40,256",893,,"75,438",0,45.5,53.4,1.2,0
Big Qualicum R,Catch + Escapement,2002,,"3,188","99,937","6,343",,"109,468",0,2.9,91.3,5.8,0
Big Qualicum R,Catch + Escapement,2003,,,"22,721","4,145",,"26,866",0,0,84.6,15.4,0
Big Qualicum R,Catch + Escapement,2004,,"19,685",,"10,832",609,"31,126",0,63.2,0,34.8,2
Big Qualicum R,Catch + Escapement,2005,,"5,244","36,844",,,"42,088",0,12.5,87.5,0,0
Big Qualicum R,Catch + Escapement,2006,,"5,975","34,758","2,966",,"43,699",0,13.7,79.5,6.8,0
Big Qualicum R,Catch + Escapement,2007,,"1,188","12,930",981,,"15,099",0,7.9,85.6,6.5,0
Big Qualicum R,Catch + Escapement,2008,,"1,751","5,078","3,967",,"10,796",0,16.2,47,36.7,0
Big Qualicum R,Catch + Escapement,2009,,"1,700","17,869",618,331,"20,518",0,8.3,87.1,3,1.6
Big Qualicum R,Catch + Escapement,2010,,"1,884","13,158",993,,"16,035",0,11.7,82.1,6.2,0
Big Qualicum R,Catch + Escapement,2011,,35,"40,423","2,349",,"42,807",0,0.1,94.4,5.5,0
Big Qualicum R,Catch + Escapement,2012,,"5,187","8,270","17,753",,"31,210",0,16.6,26.5,56.9,0
Big Qualicum R,Catch + Escapement,2013,,702,"10,278",704,201,"11,885",0,5.9,86.5,5.9,1.7
Big Qualicum R,Catch + Escapement,2014,,"1,718","5,534","2,375",,"9,627",0,17.8,57.5,24.7,0
Big Qualicum R,Catch + Escapement,2015,,"14,210","97,653","1,305",,"113,168",0,12.6,86.3,1.2,0
Big Qualicum R,Catch + Escapement,2016,,"2,828","133,557","18,673",,"155,058",0,1.8,86.1,12,0
Big Qualicum R,Catch + Escapement,2017,,,,"24,625",,"24,625",0,0,0,100,0
Bish Cr,Catch,1988,,"1,114",,,,"1,114",0,100,0,0,0
Bish Cr,Catch,1989,,21,160,,,181,0,11.6,88.4,0,0
Bish Cr,Catch,1990,,97,915,400,,"1,412",0,6.9,64.8,28.3,0
Bish Cr,Catch,1991,,47,187,59,,293,0,16,63.8,20.1,0
Bish Cr,Catch,1992,,97,49,8,7,161,0,60.2,30.4,5,4.3
Bish Cr,Catch,1993,,145,122,,,267,0,54.3,45.7,0,0
Bish Cr,Catch,1994,,87,771,171,,"1,029",0,8.5,74.9,16.6,0
Bish Cr,Catch,1995,,143,54,91,,288,0,49.7,18.8,31.6,0
Bish Cr,Catch,1996,,,277,,,277,0,0,100,0,0
Bish Cr,Escapement,1988,,681,,,,681,0,100,0,0,0
Bish Cr,Escapement,1989,,496,"6,230",,,"6,726",0,7.4,92.6,0,0
Bish Cr,Escapement,1991,,131,"1,183",320,,"1,634",0,8,72.4,19.6,0
Bish Cr,Escapement,1995,,"15,360","5,563","4,545",,"25,468",0,60.3,21.8,17.8,0
Bish Cr,Catch + Escapement,1988,,"1,795",,,,"1,795",0,100,0,0,0
Bish Cr,Catch + Escapement,1989,,517,"6,390",,,"6,907",0,7.5,92.5,0,0
Bish Cr,Catch + Escapement,1990,,97,915,400,,"1,412",0,6.9,64.8,28.3,0
Bish Cr,Catch + Escapement,1991,,177,"1,371",379,,"1,927",0,9.2,71.1,19.7,0
Bish Cr,Catch + Escapement,1992,,97,49,8,7,161,0,60.2,30.4,5,4.3
Bish Cr,Catch + Escapement,1993,,145,122,,,267,0,54.3,45.7,0,0
Bish Cr,Catch + Escapement,1994,,87,771,171,,"1,029",0,8.5,74.9,16.6,0
Bish Cr,Catch + Escapement,1995,,"15,503","5,617","4,636",,"25,756",0,60.2,21.8,18,0
Bish Cr,Catch + Escapement,1996,,,277,,,277,0,0,100,0,0
Blaney Cr/LWFR,Catch,1980,,690,320,8,,"1,018",0,67.8,31.4,0.8,0
Blaney Cr/LWFR,Catch,1981,,1,277,3,,281,0,0.4,98.6,1.1,0
Blaney Cr/LWFR,Catch,1982,,165,200,306,,671,0,24.6,29.8,45.6,0
Blaney Cr/LWFR,Catch,1983,,,57,5,,62,0,0,91.9,8.1,0
Blaney Cr/LWFR,Catch,1985,,889,259,,,"1,148",0,77.4,22.6,0,0
Blaney Cr/LWFR,Catch,1986,,126,"2,743",,,"2,869",0,4.4,95.6,0,0
Blaney Cr/LWFR,Catch,1987,,76,57,,,133,0,57.1,42.9,0,0
Blaney Cr/LWFR,Catch,1988,,"3,954","8,403",97,,"12,454",0,31.7,67.5,0.8,0
Blaney Cr/LWFR,Catch,1989,,,"1,515",103,,"1,618",0,0,93.6,6.4,0
Blaney Cr/LWFR,Catch,1990,,,"1,485",,20,"1,505",0,0,98.7,0,1.3
Blaney Cr/LWFR,Catch,1991,,,,271,,271,0,0,0,100,0
Blaney Cr/LWFR,Catch,1992,,,,,6,6,0,0,0,0,100
Blaney Cr/LWFR,Escapement,1980,,622,289,7,,918,0,67.8,31.5,0.8,0
Blaney Cr/LWFR,Escapement,1981,,12,"3,470",37,,"3,519",0,0.3,98.6,1.1,0
Blaney Cr/LWFR,Escapement,1982,,172,207,317,,696,0,24.7,29.7,45.5,0
Blaney Cr/LWFR,Escapement,1983,,,409,39,,448,0,0,91.3,8.7,0
Blaney Cr/LWFR,Escapement,1984,,"2,933",,59,,"2,992",0,98,0,2,0
Blaney Cr/LWFR,Escapement,1985,,"9,936",,,,"9,936",0,100,0,0,0
Blaney Cr/LWFR,Escapement,1986,,76,"5,517",,,"5,593",0,1.4,98.6,0,0
Blaney Cr/LWFR,Escapement,1987,,,179,,,179,0,0,100,0,0
Blaney Cr/LWFR,Escapement,1988,,"3,478",72,25,,"3,575",0,97.3,2,0.7,0
Blaney Cr/LWFR,Escapement,1989,,,"4,676",,,"4,676",0,0,100,0,0
Blaney Cr/LWFR,Escapement,1990,,,"1,001",,,"1,001",0,0,100,0,0
Blaney Cr/LWFR,Escapement,1992,,,,,1,1,0,0,0,0,100
Blaney Cr/LWFR,Catch + Escapement,1980,,"1,312",609,15,,"1,936",0,67.8,31.5,0.8,0
Blaney Cr/LWFR,Catch + Escapement,1981,,13,"3,747",40,,"3,800",0,0.3,98.6,1.1,0
Blaney Cr/LWFR,Catch + Escapement,1982,,337,407,623,,"1,367",0,24.7,29.8,45.6,0
Blaney Cr/LWFR,Catch + Escapement,1983,,,466,44,,510,0,0,91.4,8.6,0
Blaney Cr/LWFR,Catch + Escapement,1984,,"2,933",,59,,"2,992",0,98,0,2,0
Blaney Cr/LWFR,Catch + Escapement,1985,,"10,825",259,,,"11,084",0,97.7,2.3,0,0
Blaney Cr/LWFR,Catch + Escapement,1986,,202,"8,260",,,"8,462",0,2.4,97.6,0,0
Blaney Cr/LWFR,Catch + Escapement,1987,,76,236,,,312,0,24.4,75.6,0,0
Blaney Cr/LWFR,Catch + Escapement,1988,,"7,432","8,475",122,,"16,029",0,46.4,52.9,0.8,0
Blaney Cr/LWFR,Catch + Escapement,1989,,,"6,191",103,,"6,294",0,0,98.4,1.6,0
Blaney Cr/LWFR,Catch + Escapement,1990,,,"2,486",,20,"2,506",0,0,99.2,0,0.8
Blaney Cr/LWFR,Catch + Escapement,1991,,,,271,,271,0,0,0,100,0
Blaney Cr/LWFR,Catch + Escapement,1992,,,,,7,7,0,0,0,0,100
Canton Cr,Catch,1982,,76,,,,76,0,100,0,0,0
Canton Cr,Catch,1984,,893,404,4,,"1,301",0,68.6,31.1,0.3,0
Canton Cr,Catch,1985,,"4,745",838,,,"5,583",0,85,15,0,0
Canton Cr,Catch,1986,,429,"8,372",80,,"8,881",0,4.8,94.3,0.9,0
Canton Cr,Catch,1987,,,36,138,,174,0,0,20.7,79.3,0
Canton Cr,Catch,1992,,300,"1,591",15,,"1,906",0,15.7,83.5,0.8,0
Canton Cr,Catch,1993,,161,"1,144",455,,"1,760",0,9.1,65,25.9,0
Canton Cr,Catch,1994,,303,805,630,,"1,738",0,17.4,46.3,36.2,0
Canton Cr,Catch,1995,,,169,26,,195,0,0,86.7,13.3,0
Canton Cr,Catch,1997,,419,"3,548",60,,"4,027",0,10.4,88.1,1.5,0
Canton Cr,Catch,1998,,46,"1,638",264,,"1,948",0,2.4,84.1,13.6,0
Canton Cr,Catch,1999,,648,428,360,,"1,436",0,45.1,29.8,25.1,0
Canton Cr,Catch,2000,,516,315,,,831,0,62.1,37.9,0,0
Canton Cr,Catch,2001,,"2,527","3,119",,,"5,646",0,44.8,55.2,0,0
Canton Cr,Catch,2003,,"2,006",903,133,,"3,042",0,65.9,29.7,4.4,0
Canton Cr,Escapement,1982,,151,,,,151,0,100,0,0,0
Canton Cr,Escapement,1983,,336,183,,,519,0,64.7,35.3,0,0
Canton Cr,Escapement,1984,,"1,248",644,8,,"1,900",0,65.7,33.9,0.4,0
Canton Cr,Escapement,1985,,"4,372","1,967",,,"6,339",0,69,31,0,0
Canton Cr,Escapement,1986,,105,"5,242",29,,"5,376",0,2,97.5,0.5,0
Canton Cr,Escapement,1987,,"1,437",500,"1,470",,"3,407",0,42.2,14.7,43.1,0
Canton Cr,Escapement,1988,,,"4,349",109,30,"4,488",0,0,96.9,2.4,0.7
Canton Cr,Escapement,1989,,"1,384","7,879",,,"9,263",0,14.9,85.1,0,0
Canton Cr,Escapement,1990,,12,"3,028",151,,"3,191",0,0.4,94.9,4.7,0
Canton Cr,Escapement,1991,,"1,224",94,874,,"2,192",0,55.8,4.3,39.9,0
Canton Cr,Escapement,1992,,458,"2,091",12,,"2,561",0,17.9,81.6,0.5,0
Canton Cr,Escapement,1993,,300,"2,727",17,,"3,044",0,9.9,89.6,0.6,0
Canton Cr,Escapement,1994,,73,910,556,,"1,539",0,4.7,59.1,36.1,0
Canton Cr,Escapement,1995,,150,"1,184",421,,"1,755",0,8.5,67.5,24,0
Canton Cr,Escapement,1996,,"2,628",82,32,3,"2,745",0,95.7,3,1.2,0.1
Canton Cr,Escapement,1997,,512,"8,583",,,"9,095",0,5.6,94.4,0,0
Canton Cr,Escapement,1998,,"1,264","2,065",,,"3,329",0,38,62,0,0
Canton Cr,Escapement,1999,,734,"3,069",512,,"4,315",0,17,71.1,11.9,0
Canton Cr,Escapement,2000,,757,656,187,,"1,600",0,47.3,41,11.7,0
Canton Cr,Escapement,2001,,"2,048","4,771",91,,"6,910",0,29.6,69,1.3,0
Canton Cr,Catch + Escapement,1982,,227,,,,227,0,100,0,0,0
Canton Cr,Catch + Escapement,1983,,336,183,,,519,0,64.7,35.3,0,0
Canton Cr,Catch + Escapement,1984,,"2,141","1,048",12,,"3,201",0,66.9,32.7,0.4,0
Canton Cr,Catch + Escapement,1985,,"9,117","2,805",,,"11,922",0,76.5,23.5,0,0
Canton Cr,Catch + Escapement,1986,,534,"13,614",109,,"14,257",0,3.7,95.5,0.8,0
Canton Cr,Catch + Escapement,1987,,"1,437",536,"1,608",,"3,581",0,40.1,15,44.9,0
Canton Cr,Catch + Escapement,1988,,,"4,349",109,30,"4,488",0,0,96.9,2.4,0.7
Canton Cr,Catch + Escapement,1989,,"1,384","7,879",,,"9,263",0,14.9,85.1,0,0
Canton Cr,Catch + Escapement,1990,,12,"3,028",151,,"3,191",0,0.4,94.9,4.7,0
Canton Cr,Catch + Escapement,1991,,"1,224",94,874,,"2,192",0,55.8,4.3,39.9,0
Canton Cr,Catch + Escapement,1992,,758,"3,682",26,,"4,466",0,17,82.4,0.6,0
Canton Cr,Catch + Escapement,1993,,461,"3,871",472,,"4,804",0,9.6,80.6,9.8,0
Canton Cr,Catch + Escapement,1994,,376,"1,715","1,186",,"3,277",0,11.5,52.3,36.2,0
Canton Cr,Catch + Escapement,1995,,150,"1,354",447,,"1,951",0,7.7,69.4,22.9,0
Canton Cr,Catch + Escapement,1996,,"2,628",82,32,3,"2,745",0,95.7,3,1.2,0.1
Canton Cr,Catch + Escapement,1997,,931,"12,131",60,,"13,122",0,7.1,92.4,0.5,0
Canton Cr,Catch + Escapement,1998,,"1,311","3,703",264,,"5,278",0,24.8,70.2,5,0
Canton Cr,Catch + Escapement,1999,,"1,382","3,498",872,,"5,752",0,24,60.8,15.2,0
Canton Cr,Catch + Escapement,2000,,"1,273",971,187,,"2,431",0,52.4,39.9,7.7,0
Canton Cr,Catch + Escapement,2001,,"4,575","7,890",91,,"12,556",0,36.4,62.8,0.7,0
Canton Cr,Catch + Escapement,2003,,"2,006",903,133,,"3,042",0,65.9,29.7,4.4,0
Cheakamus R,Catch,1997,,10,,,,10,0,100,0,0,0
Cheakamus R,Catch,1998,,"1,395","4,674",,,"6,069",0,23,77,0,0
Cheakamus R,Catch,1999,,,406,53,,459,0,0,88.5,11.5,0
Cheakamus R,Catch,2000,,,,79,,79,0,0,0,100,0
Cheakamus R,Catch + Escapement,1997,,10,,,,10,0,100,0,0,0
Cheakamus R,Catch + Escapement,1998,,"1,395","4,674",,,"6,069",0,23,77,0,0
Cheakamus R,Catch + Escapement,1999,,,406,53,,459,0,0,88.5,11.5,0
Cheakamus R,Catch + Escapement,2000,,,,79,,79,0,0,0,100,0
Chehalis R,Catch,1985,,"1,752",,,,"1,752",0,100,0,0,0
Chehalis R,Catch,1986,,631,"5,970",,,"6,601",0,9.6,90.4,0,0
Chehalis R,Catch,1987,,132,301,95,,528,0,25,57,18,0
Chehalis R,Catch,1988,,"11,511","6,843",395,,"18,749",0,61.4,36.5,2.1,0
Chehalis R,Catch,1989,,"6,426","43,776","1,778",,"51,980",0,12.4,84.2,3.4,0
Chehalis R,Catch,1990,,,"133,304","2,414",36,"135,754",0,0,98.2,1.8,0
Chehalis R,Catch,1991,,"5,714",,"14,165",,"19,879",0,28.7,0,71.3,0
Chehalis R,Catch,1992,,"11,123","75,334",,135,"86,592",0,12.8,87,0,0.2
Chehalis R,Catch,1993,,"8,834","61,103","7,725",,"77,662",0,11.4,78.7,9.9,0
Chehalis R,Catch,1994,,"10,972","61,137","3,703",,"75,812",0,14.5,80.6,4.9,0
Chehalis R,Catch,1995,,"6,230","35,150","10,637",,"52,017",0,12,67.6,20.4,0
Chehalis R,Catch,1996,,"18,935","9,312","1,646",103,"29,996",0,63.1,31,5.5,0.3
Chehalis R,Catch,1997,105,"5,925","27,378",99,,"33,507",0.3,17.7,81.7,0.3,0
Chehalis R,Catch,1998,,"29,853","52,564","2,795",,"85,212",0,35,61.7,3.3,0
Chehalis R,Catch,1999,,"5,163","83,505","1,602",,"90,270",0,5.7,92.5,1.8,0
Chehalis R,Catch,2000,,"1,288","16,640",716,,"18,644",0,6.9,89.3,3.8,0
Chehalis R,Catch,2001,,"3,633","21,266",354,,"25,253",0,14.4,84.2,1.4,0
Chehalis R,Catch,2002,,,"20,631","3,966",,"24,597",0,0,83.9,16.1,0
Chehalis R,Catch,2003,,,,137,,137,0,0,0,100,0
Chehalis R,Escapement,1985,,"4,471",,,,"4,471",0,100,0,0,0
Chehalis R,Escapement,1986,,590,"9,761",,,"10,351",0,5.7,94.3,0,0
Chehalis R,Escapement,1987,,494,"1,474",382,,"2,350",0,21,62.7,16.3,0
Chehalis R,Escapement,1988,,"5,140","8,947",123,,"14,210",0,36.2,63,0.9,0
Chehalis R,Escapement,1989,,"20,622","91,925",688,,"113,235",0,18.2,81.2,0.6,0
Chehalis R,Escapement,1990,,,"53,143","2,090",5,"55,238",0,0,96.2,3.8,0
Chehalis R,Escapement,1991,,"5,371",,"11,953",,"17,324",0,31,0,69,0
Chehalis R,Escapement,1992,,"4,608","26,996",,114,"31,718",0,14.5,85.1,0,0.4
Chehalis R,Escapement,1993,,"2,787","19,595","1,111",,"23,493",0,11.9,83.4,4.7,0
Chehalis R,Escapement,1994,,"2,352","26,310",215,,"28,877",0,8.1,91.1,0.7,0
Chehalis R,Escapement,1995,,"2,561","14,479","4,329",,"21,369",0,12,67.8,20.3,0
Chehalis R,Escapement,1996,,"11,274","4,481",833,52,"16,640",0,67.8,26.9,5,0.3
Chehalis R,Escapement,1997,56,"2,787","13,973",52,,"16,868",0.3,16.5,82.8,0.3,0
Chehalis R,Escapement,1998,,"13,077","21,176","1,066",,"35,319",0,37,60,3,0
Chehalis R,Escapement,1999,,"1,844","28,347",572,,"30,763",0,6,92.1,1.9,0
Chehalis R,Escapement,2000,,755,"6,735",420,,"7,910",0,9.5,85.1,5.3,0
Chehalis R,Escapement,2001,,"1,207","6,775",123,,"8,105",0,14.9,83.6,1.5,0
Chehalis R,Escapement,2002,,,"6,822","1,129",,"7,951",0,0,85.8,14.2,0
Chehalis R,Escapement,2003,,,,205,,205,0,0,0,100,0
Chehalis R,Catch + Escapement,1985,,"6,223",,,,"6,223",0,100,0,0,0
Chehalis R,Catch + Escapement,1986,,"1,221","15,731",,,"16,952",0,7.2,92.8,0,0
Chehalis R,Catch + Escapement,1987,,626,"1,775",477,,"2,878",0,21.8,61.7,16.6,0
Chehalis R,Catch + Escapement,1988,,"16,651","15,790",518,,"32,959",0,50.5,47.9,1.6,0
Chehalis R,Catch + Escapement,1989,,"27,048","135,701","2,466",,"165,215",0,16.4,82.1,1.5,0
Chehalis R,Catch + Escapement,1990,,,"186,447","4,504",41,"190,992",0,0,97.6,2.4,0
Chehalis R,Catch + Escapement,1991,,"11,086",,"26,118",,"37,204",0,29.8,0,70.2,0
Chehalis R,Catch + Escapement,1992,,"15,732","102,330",,250,"118,312",0,13.3,86.5,0,0.2
Chehalis R,Catch + Escapement,1993,,"11,621","80,698","8,836",,"101,155",0,11.5,79.8,8.7,0
Chehalis R,Catch + Escapement,1994,,"13,324","87,448","3,918",,"104,690",0,12.7,83.5,3.7,0
Chehalis R,Catch + Escapement,1995,,"8,791","49,629","14,967",,"73,387",0,12,67.6,20.4,0
Chehalis R,Catch + Escapement,1996,,"30,209","13,793","2,480",155,"46,637",0,64.8,29.6,5.3,0.3
