Stock,Year,Statistical Area(s), Expanded Catch , Total Catch By Area ,Enhanced % Catch
Cheakamus R,1997,29,7.01,"20,770",0
Cheakamus R,1998,"12,13","3,301.45","1,433,772",0.2
Cheakamus R,1998,14,"2,391.76","562,617",0.4
Cheakamus R,1998,29,144.83,"18,951",0.8
Cheakamus R,1999,"12,13",384.98,"40,321",1
Cheakamus R,1999,29,72.74,"43,591",0.2
Cheakamus R,2000,"12,13",78.26,"179,650",0
Chehalis R,1990,"12,13","51,119.87","1,185,359",4.3
Chehalis R,1990,14,"3,078.02","145,566",2.1
Chehalis R,1990,29,"9,625.60","113,510",8.5
Chehalis R,1991,"12,13",846.15,"230,149",0.4
Chehalis R,1991,14,612.34,"269,140",0.2
Chehalis R,1991,29,"2,137.33","61,007",3.5
Chehalis R,1992,"12,13","33,612.13","1,346,917",2.5
Chehalis R,1992,17,498.64,"21,096",2.4
Chehalis R,1992,21,"4,799.07","1,075,724",0.4
Chehalis R,1992,29,"9,368.23","50,996",18.4
Chehalis R,1993,"12,13","37,699.71","1,261,372",3
Chehalis R,1993,14,"1,101.15","381,261",0.3
Chehalis R,1993,21,687.68,"763,500",0.1
Chehalis R,1993,29,"10,897.52","80,007",13.6
Chehalis R,1993,"2W,2E",680.6,"125,247",0.5
Chehalis R,1994,"12,13","39,646.66","1,267,961",3.1
Chehalis R,1994,14,"1,025.65","368,839",0.3
Chehalis R,1994,21,"1,296.57","826,210",0.2
Chehalis R,1994,29,"13,015.33","130,782",10
Chehalis R,1995,"12,13","5,828.73","259,087",2.2
Chehalis R,1995,14,639.2,"18,297",3.5
Chehalis R,1995,21,221.84,"209,202",0.1
Chehalis R,1995,29,"9,837.38","52,964",18.6
Chehalis R,1997,"12,13",437.79,"97,880",0.4
Chehalis R,1997,29,"1,289.16","20,770",6.2
Chehalis R,1998,"12,13","22,610.60","1,433,772",1.6
Chehalis R,1998,14,209.23,"562,617",0
Chehalis R,1998,29,"1,468.27","18,951",7.7
Chehalis R,1999,29,"4,134.92","43,591",9.5
Chehalis R,2000,"12,13","5,135.77","179,650",2.9
Chehalis R,2000,29,"1,967.16","21,693",9.1
Chehalis R,2001,"12,13","1,963.47","183,351",1.1
Chehalis R,2002,"12,13","2,185.50","568,444",0.4
Chehalis R,2002,14,"2,202.17","191,621",1.1
Chehalis R,2002,29,723.32,"46,636",1.6
Chehalis+Squakum,1990,"12,13","1,702.97","1,185,359",0.1
Chehalis+Squakum,1991,"12,13","1,275.32","230,149",0.6
Chehalis+Squakum,1991,14,"1,101.13","269,140",0.4
Chehalis+Squakum,1991,17,"1,338.66","16,578",8.1
Chehalis+Squakum,1991,21,542.12,"494,722",0.1
Chehalis+Squakum,1991,29,"2,631.44","61,007",4.3
Chehalis+Squakum,1992,"12,13","3,635.04","1,346,917",0.3
Chehalis+Squakum,1992,21,426.67,"1,075,724",0
Chilliwack R,1990,"12,13","26,512.12","1,185,359",2.2
Chilliwack R,1990,"18,19",324.77,"107,437",0.3
Chilliwack R,1990,29,"4,650.86","113,510",4.1
Chilliwack R,1991,"12,13","2,319.39","230,149",1
Chilliwack R,1991,14,"1,559.61","269,140",0.6
Chilliwack R,1991,"18,19",373.87,"154,262",0.2
Chilliwack R,1991,29,"1,719.14","61,007",2.8
Chilliwack R,1992,"12,13","18,965.69","1,346,917",1.4
Chilliwack R,1992,14,"1,880.04","429,110",0.4
Chilliwack R,1992,"15,16",69.05,"21,783",0.3
Chilliwack R,1992,17,253.13,"21,096",1.2
Chilliwack R,1992,"18,19","1,227.93","84,732",1.4
Chilliwack R,1992,29,"1,319.75","50,996",2.6
Chilliwack R,1993,"12,13","20,346.48","1,261,372",1.6
Chilliwack R,1993,14,"3,617.53","381,261",0.9
Chilliwack R,1993,"15,16",533.16,"119,031",0.4
Chilliwack R,1993,17,133,"18,021",0.7
Chilliwack R,1993,"18,19",630.87,"80,202",0.8
Chilliwack R,1993,29,"2,224.72","80,007",2.8
Chilliwack R,1994,"12,13","25,281.83","1,267,961",2
Chilliwack R,1994,14,"2,754.36","368,839",0.7
Chilliwack R,1994,29,"3,891.34","130,782",3
Chilliwack R,1995,"12,13","3,021.40","259,087",1.2
Chilliwack R,1995,14,311.61,"18,297",1.7
Chilliwack R,1995,29,"1,618.98","52,964",3.1
Chilliwack R,1996,"12,13","1,605.75","82,167",2
Chilliwack R,1997,"12,13","2,809.97","97,880",2.9
Chilliwack R,1997,29,652.4,"20,770",3.1
Chilliwack R,1998,"12,13","79,878.13","1,433,772",5.6
Chilliwack R,1998,14,"51,736.70","562,617",9.2
Chilliwack R,1998,29,"2,603.99","18,951",13.7
Chilliwack R,1999,"12,13","3,446.62","40,321",8.5
Chilliwack R,1999,29,"1,825.41","43,591",4.2
Chilliwack R,2000,"12,13","4,931.97","179,650",2.7
Chilliwack R,2001,"12,13","11,015.63","183,351",6
Chilliwack R,2001,14,"5,561.09","49,865",11.2
Chilliwack R,2001,"18,19","1,872.51","14,297",13.1
Chilliwack R,2001,29,"2,612.96","47,548",5.5
Chilliwack R,2002,"12,13","3,540.42","568,444",0.6
Chilliwack R,2002,14,"2,521.29","191,621",1.3
Chilliwack R,2002,29,553.21,"46,636",1.2
Chilliwack R,1993,"12,13",103.85,"1,261,372",0
Chilliwack R,1993,14,55,"381,261",0
Chilliwack R,1994,"12,13","3,373.42","1,267,961",0.3
Chilliwack R,1994,14,373.1,"368,839",0.1
Chilliwack R,1994,29,489.14,"130,782",0.4
Chilliwack R,1995,"12,13",359.09,"259,087",0.1
Chilliwack R,1995,14,26.39,"18,297",0.1
Chilliwack R,1995,29,159.37,"52,964",0.3
Chilliwack R,1996,"12,13",258.96,"82,167",0.3
Chilliwack R,1997,"12,13",43.01,"97,880",0
Chilliwack R,1993,"12,13",3.13,"1,261,372",0
Chilliwack R,1993,14,1.66,"381,261",0
Chilliwack R,1994,"12,13",99.08,"1,267,961",0
Chilliwack R,1994,14,10.58,"368,839",0
Chilliwack R,1994,29,14.74,"130,782",0
Chilliwack R,1995,"12,13",6.46,"259,087",0
Chilliwack R,1995,14,0.61,"18,297",0
Chilliwack R,1995,29,3.82,"52,964",0
Chilliwack R,1996,"12,13",0.15,"82,167",0
Conuma R,1992,"25,26","18,237.29","152,130",12
Conuma R,1993,"25,26","13,727.89","117,096",11.7
Conuma R,1994,1,3.44,"13,962",0
Conuma R,1994,"12,13",6.11,"1,267,961",0
Conuma R,1994,"25,26","53,858.87","197,947",27.2
Conuma R,1995,"25,26","3,676.29","27,784",13.2
Conuma R,1997,21,414.54,"1,048,721",0
Conuma R,1997,"25,26","15,918.86","89,072",17.9
Conuma R,1998,21,302.75,"695,439",0
Conuma R,1998,"25,26","8,469.40","101,722",8.3
Conuma R,1999,21,41.58,"96,879",0
Conuma R,1999,"25,26","7,107.51","104,245",6.8
Conuma R,2000,"25,26","4,025.16","27,226",14.8
Conuma R,2001,"25,26","18,485.26","69,311",26.7
Conuma R,2003,"25,26","10,639.66","109,042",9.8
Dala R,1990,"3,4,5",7.62,"103,942",0
Dala R,1990,6,628.31,"153,292",0.4
Dala R,1991,6,376.01,"50,747",0.7
Dala R,1992,"3,4,5",16.22,"240,412",0
Dala R,1992,6,194.57,"42,227",0.5
Dala R,1993,6,109.62,"11,601",0.9
Dala R,1993,"7,8,9",136.82,"288,982",0
Dala R,1994,6,368.5,"75,143",0.5
Dala R,1994,"7,8,9",81.62,"694,489",0
Dala R,1994,"8,9,10",79.56,,
Dala R,1995,6,159.17,"27,811",0.6
Dala R,1996,6,209.4,"29,748",0.7
Deserted R/NWVI,1992,"12,13",235.98,"1,346,917",0
Deserted R/NWVI,1992,21,607.27,"1,075,724",0.1
Deserted R/NWVI,1992,"25,26","11,729.17","152,130",7.7
Deserted R/NWVI,1993,1,274.73,"23,891",1.1
Deserted R/NWVI,1993,21,"3,103.70","763,500",0.4
Deserted R/NWVI,1993,"25,26","12,814.31","117,096",10.9
Deserted R/NWVI,1993,"3,4,5",218.54,"647,783",0
Deserted R/NWVI,1994,1,84.06,"13,962",0.6
Deserted R/NWVI,1994,"12,13",149.16,"1,267,961",0
Deserted R/NWVI,1994,"25,26","11,336.15","197,947",5.7
Deserted R/NWVI,1995,"25,26","1,141.31","27,784",4.1
Deserted R/NWVI,1997,"25,26","4,704.28","89,072",5.3
Deserted R/NWVI,1998,"25,26","6,664.49","101,722",6.6
Deserted R/NWVI,1999,"25,26","1,165.54","104,245",1.1
Deserted R/NWVI,2000,"25,26",38.81,"27,226",0.1
Deserted R/NWVI,2001,"25,26","1,432.12","69,311",2.1
Deserted R/NWVI,2003,"25,26","2,819.30","109,042",2.6
Fish Cr+Airport Ch,1990,11,71.79,"6,534",1.1
Fish Cr+Airport Ch,1990,"3,4,5",15.28,"103,942",0
Fish Cr+Airport Ch,1990,6,88.78,"153,292",0.1
Fish Cr+Airport Ch,1990,"7,8,9","25,752.76","917,567",2.8
Fish Cr+Airport Ch,1991,6,116.73,"50,747",0.2
Fish Cr+Airport Ch,1991,"7,8,9","8,253.64","379,521",2.2
Fish Cr+Airport Ch,1991,"8,9,10",133.59,,
Fish Cr+Airport Ch,1992,"3,4,5",475.29,"240,412",0.2
Fish Cr+Airport Ch,1992,"7,8,9","6,162.32","225,489",2.7
Fish Cr+Airport Ch,1992,"9,10",638.22,,
Fish Cr+Airport Ch,1993,"7,8,9","7,577.96","288,982",2.6
Fish Cr+Airport Ch,1994,10,59.43,"19,178",0.3
Fish Cr+Airport Ch,1994,6,137.39,"75,143",0.2
Fish Cr+Airport Ch,1994,"7,8,9","15,303.95","694,489",2.2
Fish Cr+Airport Ch,1994,"8,9,10","1,469.74",,
Fish Cr+Airport Ch,1995,6,20.24,"27,811",0.1
Fish Cr+Airport Ch,1995,"7,8,9","37,827.66","928,283",4.1
Fish Cr+Airport Ch,1996,"2W,2E",63.91,"122,945",0.1
Fish Cr+Airport Ch,1996,6,56.25,"29,748",0.2
Fish Cr+Airport Ch,1996,"7,8,9","9,509.65","340,698",2.8
Fish Cr+Airport Ch,1997,"7,8,9","11,083.76","290,439",3.8
Fish Cr+Airport Ch,1998,1,4.75,"1,413",0.3
Fish Cr+Airport Ch,1998,"2W,2E",39.08,"104,988",0
Fish Cr+Airport Ch,1998,6,"1,400.73","438,019",0.3
Fish Cr+Airport Ch,1998,"7,8,9","19,800.08","741,267",2.7
Fish Cr+Airport Ch,1999,"3,4,5",62.74,"144,676",0
Fish Cr+Airport Ch,1999,6,37.3,"37,124",0.1
Fish Cr+Airport Ch,1999,"7,8,9","9,698.51","264,709",3.7
Fish Cr+Airport Ch,2000,6,90.1,"15,477",0.6
Fish Cr+Airport Ch,2000,"7,8,9","3,409.51","82,058",4.2
Fish Cr+Airport Ch,2001,6,44.61,"56,419",0.1
Fish Cr+Airport Ch,2001,"7,8,9","20,712.92","454,000",4.6
Fish Cr+Airport Ch,2002,"2W,2E",355.4,"95,909",0.4
Fish Cr+Airport Ch,2002,"7,8,9","24,843.31","574,650",4.3
Fish Cr+Airport Ch,2003,"2W,2E",29.4,"5,941",0.5
Fish Cr+Airport Ch,2003,"7,8,9","50,894.48","956,368",5.3
Fish Cr+Airport Ch,2004,"7,8,9","145,925.06","1,235,642",11.8
Fish Cr+Airport Ch,2005,"7,8,9","11,483.32","341,954",3.4
Fish Cr+Airport Ch,2006,"7,8,9","25,815.85","380,476",6.8
Fish Cr+Airport Ch,2007,"7,8,9","11,482.89","258,080",4.4
Fish Cr+Airport Ch,2008,"7,8,9",182.35,"9,764",1.9
Fish Cr+Airport Ch,2009,"7,8,9","1,479.39","44,177",3.3
Fish Cr+Airport Ch,2011,"7,8,9","2,690.93","334,737",0.8
Fish Cr+Airport Ch,2012,"7,8,9","18,069.79","326,239",5.5
Fish Cr+Airport Ch,2013,"7,8,9","46,837.17","547,620",8.6
Fish Cr+Airport Ch,2014,"7,8,9","5,985.88","229,560",2.6
Fish Cr+Airport Ch,2015,"7,8,9","39,993.01","874,823",4.6
Fish Cr+Airport Ch,2016,"7,8,9","35,310.96","475,253",7.4
Fish Cr+Airport Ch,2017,"7,8,9","37,008.32","316,501",11.7
Fish Cr+Airport Ch,2018,"7,8,9","39,298.16","452,439",8.7
Hirsch Cr,1990,6,465.14,"153,292",0.3
Hirsch Cr,1991,6,405.71,"50,747",0.8
Hirsch Cr,1992,"3,4,5",280.21,"240,412",0.1
Hirsch Cr,1992,6,557.59,"42,227",1.3
Hirsch Cr,1993,6,250.44,"11,601",2.2
Hirsch Cr,1993,"7,8,9",84.58,"288,982",0
Hirsch Cr,1994,6,906.05,"75,143",1.2
Hirsch Cr,1994,"7,8,9",291.4,"694,489",0
Hirsch Cr,1994,"8,9,10",160.14,,
Hirsch Cr,1995,6,359,"27,811",1.3
Hirsch Cr,1996,6,"1,195.38","29,748",4
Hirsch Cr,1996,"7,8,9",50.86,"340,698",0
Hirsch Cr,1997,6,206.63,"11,919",1.7
Hirsch Cr,1997,"7,8,9",407.1,"290,439",0.1
Hirsch Cr,1998,6,"5,336.37","438,019",1.2
Hirsch Cr,1998,"7,8,9",521.73,"741,267",0.1
Hirsch Cr,1999,"3,4,5",265.51,"144,676",0.2
Hirsch Cr,1999,6,"1,051.01","37,124",2.8
Hirsch Cr,1999,"7,8,9",191.69,"264,709",0.1
Hirsch Cr,2000,6,839.52,"15,477",5.4
Hirsch Cr,2001,"2W,2E",5.23,"37,733",0
Hirsch Cr,2001,6,"2,014.76","56,419",3.6
Hirsch Cr,2002,11,18.7,"1,489",1.3
Hirsch Cr,2002,"2W,2E",530.16,"95,909",0.6
Hirsch Cr,2002,6,"3,770.49","202,840",1.9
Hirsch Cr,2003,"2W,2E",15.35,"5,941",0.3
Hirsch Cr,2003,6,"5,119.47","389,026",1.3
Humphreys Cr,1990,6,243.48,"153,292",0.2
Humphreys Cr,1991,6,61.31,"50,747",0.1
Humphreys Cr,1992,"3,4,5",27.86,"240,412",0
Humphreys Cr,1992,6,48.51,"42,227",0.1
Humphreys Cr,1993,6,76.52,"11,601",0.7
Humphreys Cr,1994,6,20.9,"75,143",0
Humphreys Cr,1994,"7,8,9",74.71,"694,489",0
Inch Cr,1990,"12,13","1,479.31","1,185,359",0.1
Inch Cr,1990,29,760.7,"113,510",0.7
Inch Cr,1991,"12,13",135.84,"230,149",0.1
Inch Cr,1991,17,34.09,"16,578",0.2
Inch Cr,1991,29,619.06,"61,007",1
Inch Cr,1992,"12,13","3,161.23","1,346,917",0.2
Inch Cr,1992,17,29.25,"21,096",0.1
Inch Cr,1992,21,102.72,"1,075,724",0
Inch Cr,1992,29,249.52,"50,996",0.5
Inch Cr,1993,"12,13","4,180.53","1,261,372",0.3
Inch Cr,1993,14,176.91,"381,261",0
Inch Cr,1993,21,68.69,"763,500",0
Inch Cr,1993,29,944.53,"80,007",1.2
Inch Cr,1993,"2W,2E",67.98,"125,247",0.1
Inch Cr,1994,"12,13","2,930.87","1,267,961",0.2
Inch Cr,1994,29,"1,052.48","130,782",0.8
Inch Cr,1995,"12,13","1,055.95","259,087",0.4
Inch Cr,1995,29,582.74,"52,964",1.1
Inch Cr,1997,29,269.66,"20,770",1.3
Inch Cr,1998,"12,13","3,462.50","1,433,772",0.2
Inch Cr,1998,14,28.31,"562,617",0
Inch Cr,1998,29,680.53,"18,951",3.6
Inch Cr,1999,"12,13",222,"40,321",0.6
Inch Cr,1999,29,578.14,"43,591",1.3
Inch Cr,2000,"12,13",739.55,"179,650",0.4
Inch Cr,2001,29,216.33,"47,548",0.5
Inch Cr,2002,"12,13",167.86,"568,444",0
Inch Cr,2002,29,180.61,"46,636",0.4
Inch Cr,2003,"12,13",231.7,"829,340",0
Inch Cr,2004,"12,13","1,289.73","919,381",0.1
Inch Cr,2004,29,506.99,"72,309",0.7
Inch Cr,2005,"12,13","1,562.68","809,474",0.2
Inch Cr,2005,29,"2,366.63","70,271",3.4
Jones Sp Ch,1998,"12,13",83.87,"1,433,772",0
Jones Sp Ch,1998,14,17.18,"562,617",0
Jones Sp Ch,1998,29,6.29,"18,951",0
Jones Sp Ch,1999,"12,13",15.48,"40,321",0
Jones Sp Ch,1999,29,11.29,"43,591",0
Jones Sp Ch,2000,"12,13",5.68,"179,650",0
Kildala R,1990,6,421.42,"153,292",0.3
Kildala R,1991,6,498.5,"50,747",1
Kildala R,1992,6,921.97,"42,227",2.2
Kildala R,1993,"2W,2E",65.41,"125,247",0.1
Kildala R,1993,6,96.13,"11,601",0.8
Kildala R,1993,"7,8,9",123.16,"288,982",0
Kildala R,1994,6,587.88,"75,143",0.8
Kildala R,1994,"7,8,9",63.29,"694,489",0
Kildala R,1994,"8,9,10",57.98,,
Kildala R,1995,6,156.17,"27,811",0.6
Kildala R,1996,6,662.31,"29,748",2.2
Kildala R,1996,"7,8,9",24.03,"340,698",0
Kildala R,1997,6,109.76,"11,919",0.9
Kildala R,1997,"7,8,9",212.37,"290,439",0.1
Kildala R,1998,6,"3,101.97","438,019",0.7
Kildala R,1998,"7,8,9",305.99,"741,267",0
Kildala R,1999,"3,4,5",151.78,"144,676",0.1
Kildala R,1999,6,586.96,"37,124",1.6
Kildala R,1999,"7,8,9",112.42,"264,709",0
Kildala R,2000,6,458.51,"15,477",3
Kildala R,2001,"2W,2E",2.93,"37,733",0
Kildala R,2001,6,"1,178.78","56,419",2.1
Kildala R,2002,11,10.48,"1,489",0.7
Kildala R,2002,"2W,2E",297.18,"95,909",0.3
Kildala R,2002,6,"1,580.46","202,840",0.8
Kildala+Dala,1990,6,413.23,"153,292",0.3
Kildala+Dala,1991,6,25.95,"50,747",0.1
Kildala+Dala,1992,6,2.87,"42,227",0
Kimsquit R,1991,"7,8,9",252.56,"379,521",0.1
Kimsquit R,1992,"7,8,9",878.46,"225,489",0.4
Kimsquit R,1992,"9,10",61.12,,
Kimsquit R,1993,"2W,2E",32.66,"125,247",0
Kimsquit R,1993,"7,8,9",130.98,"288,982",0
Kimsquit R,1994,"7,8,9",12.71,"694,489",0
Kitasoo Cr,1992,"7,8,9",61.55,"225,489",0
Kitasoo Cr,1993,"7,8,9","6,398.00","288,982",2.2
Kitasoo Cr,1994,6,54.6,"75,143",0.1
Kitasoo Cr,1994,"7,8,9","1,352.32","694,489",0.2
Kitasoo Cr,1994,"8,9,10",56.44,,
Kitasoo Cr,1995,6,17.26,"27,811",0.1
Kitasoo Cr,1995,"7,8,9",437.9,"928,283",0
Kitasoo Cr,1996,6,53.7,"29,748",0.2
Kitasoo Cr,1996,"7,8,9",39.15,"340,698",0
Kitasoo Cr,1997,6,13.01,"11,919",0.1
Kitasoo Cr,1997,"6,7",3.55,,
Kitasoo Cr,1997,"7,8,9",521.8,"290,439",0.2
Kitasoo Cr,1998,1,0.45,"1,413",0
Kitasoo Cr,1998,6,114.78,"438,019",0
Kitasoo Cr,1998,"7,8,9","3,384.55","741,267",0.5
Kitasoo Cr,1999,"3,4,5",67.3,"144,676",0
Kitasoo Cr,1999,6,8.34,"37,124",0
Kitasoo Cr,1999,"7,8,9",999.76,"264,709",0.4
Kitasoo Cr,2000,6,13.58,"15,477",0.1
Kitasoo Cr,2000,"7,8,9",107.55,"82,058",0.1
Kitasoo Cr,2001,"2W,2E",3.42,"37,733",0
Kitasoo Cr,2001,"7,8,9",733.43,"454,000",0.2
Kitasoo Cr,2002,11,7.51,"1,489",0.5
Kitasoo Cr,2002,"2W,2E",258.78,"95,909",0.3
Kitasoo Cr,2002,"7,8,9",920.78,"574,650",0.2
Kitasoo Cr,2003,"2W,2E",13.09,"5,941",0.2
Kitasoo Cr,2003,"7,8,9","13,421.24","956,368",1.4
Kitimat Low+Hirsch,1990,11,17.13,"6,534",0.3
Kitimat Low+Hirsch,1990,"3,4,5",18.13,"103,942",0
Kitimat Low+Hirsch,1990,6,"3,090.36","153,292",2
Kitimat Low+Hirsch,1991,6,"1,254.09","50,747",2.5
Kitimat R,1990,"3,4,5",66.73,"103,942",0.1
Kitimat R,1990,6,"1,658.40","153,292",1.1
Kitimat R,1991,6,"1,870.77","50,747",3.7
Kitimat R,1992,"3,4,5",101.15,"240,412",0
Kitimat R,1992,6,264.96,"42,227",0.6
Kitimat R,1993,6,629.92,"11,601",5.4
Kitimat R,1994,6,"5,530.39","75,143",7.4
Kitimat R,1994,"7,8,9",615,"694,489",0.1
Kitimat R,1995,6,608.81,"27,811",2.2
Kitimat R,1996,6,"2,270.15","29,748",7.6
Kitimat R,1997,6,"2,238.63","11,919",18.8
Kitimat R,1998,6,"29,121.57","438,019",6.6
Kitimat R,1999,"3,4,5","1,447.99","144,676",1
Kitimat R,1999,6,"2,279.51","37,124",6.1
Kitimat R,2000,6,391.56,"15,477",2.5
Kitimat R,2001,"2W,2E",46.02,"37,733",0.1
Kitimat R,2001,6,"5,388.83","56,419",9.6
Kitimat R,2002,"2W,2E",840.44,"95,909",0.9
Kitimat R,2002,6,"11,248.90","202,840",5.5
Kitimat R,2003,"2W,2E",238.76,"5,941",4
Kitimat R,2003,6,"26,418.77","389,026",6.8
Kumealon Cr,2012,"7,8,9",44.7,"326,239",0
Kumealon Cr,2013,"7,8,9",7.45,"547,620",0
Kwakusdis R,1994,10,4.85,"19,178",0
Kwakusdis R,1994,"7,8,9",83.36,"694,489",0
Kwakusdis R,1994,"8,9,10",5.11,,
Kwakusdis R,1995,"7,8,9",188.97,"928,283",0
Kwakusdis R,1996,"7,8,9",383.19,"340,698",0.1
Kwakusdis R,1997,"6,7",17.49,,
Kwakusdis R,1997,"7,8,9","2,302.06","290,439",0.8
Kwakusdis R,1998,"7,8,9",638.35,"741,267",0.1
Kwakusdis R,1999,"3,4,5",4.41,"144,676",0
Kwakusdis R,1999,"7,8,9","1,002.94","264,709",0.4
Kwakusdis R,2000,"7,8,9",64,"82,058",0.1
Kwakusdis R,2001,"7,8,9",8.7,"454,000",0
L Qualicum R,1990,"12,13","58,488.43","1,185,359",4.9
L Qualicum R,1990,14,"33,894.88","145,566",23.3
L Qualicum R,1991,"12,13","6,018.33","230,149",2.6
L Qualicum R,1991,14,"14,401.68","269,140",5.4
L Qualicum R,1991,17,541.04,"16,578",3.3
L Qualicum R,1992,"12,13","69,861.50","1,346,917",5.2
L Qualicum R,1992,14,"56,419.79","429,110",13.1
L Qualicum R,1992,17,862.66,"21,096",4.1
L Qualicum R,1992,29,415.55,"50,996",0.8
L Qualicum R,1993,"12,13","53,236.78","1,261,372",4.2
L Qualicum R,1993,14,"44,935.24","381,261",11.8
L Qualicum R,1993,"18,19",153.06,"80,202",0.2
L Qualicum R,1993,29,"2,344.21","80,007",2.9
